Comment,Designator,Footprint,LCSC
SW_Push,SW1,SKQG-1155865,C116647
22,"R3,R4",R_0603_1608Metric,C1203
Conn_01x04,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
10k,"R5,R6",R_0603_1608Metric,C15401
0.1uF,"C2,C3,C4,C5,C6",C_0603_1608Metric,C1591
22pF,"C8,C9",C_0603_1608Metric,C1653
500mA,F1,Fuse_1206_3216Metric,C20799
D,"D0,D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D5,D6,D7,D8,D9",D_SOD-123,C2099
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C255907
PRTR5V0U2X,U2,SOT143B,C2827688
ATmega32U4-A,U3,TQFP-44_10x10mm_P0.8mm,C44854
1uF,C7,C_0603_1608Metric,C5673
10uF,C1,C_0603_1608Metric,C92487
