Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,146.05,-29.845,-90.0,bottom
C2,0.1uF,C_0603_1608Metric,138.176,-41.91,0.0,bottom
C3,0.1uF,C_0603_1608Metric,124.968,-36.322,90.0,bottom
C4,0.1uF,C_0603_1608Metric,124.587,-27.178,-90.0,bottom
C5,0.1uF,C_0603_1608Metric,129.9464,-23.3934,180.0,bottom
C6,0.1uF,C_0603_1608Metric,137.6934,-22.5552,90.0,bottom
C7,1uF,C_0603_1608Metric,135.9154,-22.5552,90.0,bottom
C8,22pF,C_0603_1608Metric,150.7236,-40.3606,0.0,bottom
C9,22pF,C_0603_1608Metric,150.6982,-33.655,180.0,bottom
D0,D,D_SOD-123,204.56525,-28.2575,90.0,bottom
D1,D,D_SOD-123,223.61525,-28.2575,90.0,bottom
D2,D,D_SOD-123,243.967,-38.735,90.0,bottom
D3,D,D_SOD-123,238.633,-38.735,90.0,bottom
D4,D,D_SOD-123,249.174,-38.735,90.0,bottom
D5,D,D_SOD-123,57.18175,-33.528,90.0,bottom
D6,D,D_SOD-123,76.23175,-33.528,90.0,bottom
D7,D,D_SOD-123,95.28175,-33.528,90.0,bottom
D8,D,D_SOD-123,114.33175,-33.528,90.0,bottom
D9,D,D_SOD-123,42.89425,-52.578,90.0,bottom
D10,D,D_SOD-123,66.70675,-52.578,90.0,bottom
D11,D,D_SOD-123,85.75675,-52.578,90.0,bottom
D12,D,D_SOD-123,104.80675,-52.578,90.0,bottom
D13,D,D_SOD-123,123.85675,-52.578,90.0,bottom
D14,D,D_SOD-123,161.70275,-52.07,90.0,bottom
D15,D,D_SOD-123,180.75275,-52.07,90.0,bottom
D16,D,D_SOD-123,199.80275,-52.07,90.0,bottom
D17,D,D_SOD-123,218.85275,-52.07,90.0,bottom
D18,D,D_SOD-123,237.90275,-52.07,90.0,bottom
D19,D,D_SOD-123,261.71525,-52.07,90.0,bottom
D20,D,D_SOD-123,45.2755,-71.628,90.0,bottom
D21,D,D_SOD-123,71.46925,-71.628,90.0,bottom
D22,D,D_SOD-123,90.51925,-71.628,90.0,bottom
D23,D,D_SOD-123,109.56925,-71.628,90.0,bottom
D24,D,D_SOD-123,128.61925,-71.628,90.0,bottom
D25,D,D_SOD-123,166.46525,-71.12,90.0,bottom
D26,D,D_SOD-123,185.51525,-71.12,90.0,bottom
D27,D,D_SOD-123,204.56525,-71.12,90.0,bottom
D28,D,D_SOD-123,223.61525,-71.12,90.0,bottom
D29,D,D_SOD-123,254.5715,-71.12,90.0,bottom
D30,D,D_SOD-123,50.038,-90.678,90.0,bottom
D31,D,D_SOD-123,80.99425,-90.678,90.0,bottom
D32,D,D_SOD-123,100.04425,-90.678,90.0,bottom
D33,D,D_SOD-123,119.09425,-90.678,90.0,bottom
D34,D,D_SOD-123,138.14425,-90.678,90.0,bottom
D35,D,D_SOD-123,175.99025,-90.17,90.0,bottom
D36,D,D_SOD-123,195.04025,-90.17,90.0,bottom
D37,D,D_SOD-123,214.09025,-90.17,90.0,bottom
D38,D,D_SOD-123,233.14025,-90.17,90.0,bottom
D39,D,D_SOD-123,45.2755,-109.728,90.0,bottom
D40,D,D_SOD-123,69.088,-109.728,90.0,bottom
D41,D,D_SOD-123,235.5215,-109.22,90.0,bottom
D42,D,D_SOD-123,259.334,-109.22,90.0,bottom
D43,D,D_SOD-123,152.146,-114.681,90.0,bottom
D44,D,D_SOD-123,259.334,-90.17,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,163.195,-23.749,0.0,bottom
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,162.687,-34.036,-90.0,bottom
R3,22,R_0603_1608Metric,143.637,-19.558,0.0,bottom
R4,22,R_0603_1608Metric,143.637,-22.225,0.0,bottom
R5,10k,R_0603_1608Metric,127.762,-39.624,0.0,bottom
R6,10k,R_0603_1608Metric,142.367,-27.686,90.0,bottom
SW1,SW_Push,SKQG-1155865,151.257,-25.019,180.0,bottom
U2,PRTR5V0U2X,SOT143B,164.338,-27.559,90.0,bottom
U3,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,134.097,-31.765,-90.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.6982,-37.084,90.0,bottom
